1,164.30.8.42,Германия
2,15.227.66.159,США
3,114.0.179.225,Индонезия
4,152.107.98.15,ЮАР
5,237.206.96.214,
6,132.241.17.218,США
7,217.89.121.82,Германия
8,180.128.120.128,Таиланд
9,10.181.230.218,
10,128.170.64.208,США
11,22.91.86.202,США
12,39.172.185.94,Пакистан
13,86.143.241.239,Великобритания
14,171.216.194.138,Китай
15,233.107.243.158,
16,1.220.151.1,Южная Корея
17,67.57.91.145,США
18,163.185.27.152,США
19,170.246.45.179,Бразилия
20,155.208.166.116,США
21,52.72.2.62,США
22,16.30.16.201,США
23,24.207.227.85,США
24,55.8.197.38,США
25,20.70.102.115,США
26,15.180.9.165,США
27,122.203.75.149,Южная Корея
28,168.246.227.45,Бразилия
29,171.193.41.7,США
30,121.213.34.38,Австралия
31,82.24.172.10,Великобритания
32,25.12.245.216,Великобритания
33,11.179.172.205,США
34,16.247.25.198,США
35,252.214.84.92,
36,111.208.35.89,Китай
37,140.130.48.24,Тайвань
38,240.135.41.89,
39,214.168.201.68,США
40,65.191.218.164,США
41,119.40.104.3,Австралия
42,146.29.170.153,США
43,209.95.71.157,США
44,129.59.105.47,США
45,194.170.93.236,ОАЭ
46,207.102.38.250,Канада
47,128.27.113.37,Япония
48,64.159.37.8,США
49,16.134.192.203,США
50,181.47.13.246,Аргентина
51,158.55.171.159,США
52,73.59.130.154,США
53,47.47.119.2,США
54,209.125.255.194,США
55,208.202.13.106,США
56,22.215.119.237,США
57,249.125.162.237,
58,135.114.251.220,США
59,227.231.135.51,
60,241.159.162.102,
61,221.129.33.89,Китай
62,75.117.110.12,США
63,144.154.171.33,США
64,247.13.106.37,
65,183.212.49.126,Гонконг
66,64.219.247.205,США
67,226.70.140.49,
68,99.143.27.102,США
69,150.73.34.161,Япония
70,180.245.43.107,Индонезия
71,109.212.160.107,Франция
72,220.45.25.190,Япония
73,109.20.114.95,Франция
74,88.94.104.98,Норвегия
75,154.42.158.64,Израиль
76,89.147.55.127,Саудовская Аравия
77,92.7.155.145,Великобритания
78,97.21.77.200,США
79,95.129.142.83,Россия
80,27.124.142.36,Южная Корея
81,241.89.14.190,
82,206.18.229.16,США
83,5.89.83.20,Италия
84,152.162.26.143,США
85,2.33.168.159,Италия
86,182.190.208.6,Пакистан
87,64.28.76.120,США
88,51.143.61.141,США
89,101.137.251.247,Тайвань
90,70.197.124.186,США
91,178.176.85.187,Россия
92,135.70.2.116,США
93,99.30.57.204,США
94,58.151.213.64,Южная Корея
95,196.245.86.121,США
96,137.169.44.36,США
97,211.178.141.240,Южная Корея
98,163.177.212.196,Китай
99,196.115.211.233,Марокко
100,35.100.36.20,США
101,17.17.129.210,США
102,75.223.77.112,США
103,38.35.38.101,США
104,43.126.202.130,Япония
105,106.32.135.104,Китай
106,238.201.179.200,
107,199.113.38.34,США
108,147.42.83.4,США
109,148.110.179.251,Люксембург
110,244.112.141.107,
111,54.142.244.244,США
112,44.171.202.255,США
113,170.42.135.135,США
114,172.27.107.17,
115,237.134.190.255,
116,247.143.216.108,
117,190.36.225.207,Венесуэла
118,222.133.115.74,Китай
119,117.200.172.59,Индия
120,160.227.79.231,Марокко
121,75.253.63.156,США
122,250.245.205.101,
123,230.0.255.166,
124,151.79.112.77,Италия
125,222.45.208.201,Китай
126,197.161.230.145,Египет
127,117.48.37.148,Китай
128,77.234.234.235,Словакия
129,90.193.32.160,Великобритания
130,5.68.141.137,Великобритания
131,111.10.43.60,Китай
132,25.226.9.148,Великобритания
133,160.54.56.36,Германия
134,46.103.22.133,Греция
135,185.173.181.152,Люксембург
136,40.231.92.112,США
137,173.56.117.58,США
138,243.200.44.96,
139,99.60.82.81,США
140,110.241.111.50,Таиланд
