1,1,2018-08-01 01:48:45,
2,1,2018-08-01 01:48:45,
3,2,2018-08-01 01:49:34,1
4,3,2018-08-01 01:50:03,2
5,3,2018-08-01 01:51:34,2
6,3,2018-08-01 01:52:15,3
7,3,2018-08-01 01:53:46,2
8,4,2018-08-01 01:53:53,4
9,4,2018-08-01 01:54:10,5
10,2,2018-08-01 01:54:18,1
11,3,2018-08-01 01:55:13,2
12,5,2018-08-01 01:55:44,1
13,2,2018-08-01 01:56:24,4
14,2,2018-08-01 01:57:40,3
15,6,2018-08-01 01:57:55,4
16,2,2018-08-01 01:59:01,2
17,4,2018-08-01 01:59:51,5
18,2,2018-08-01 02:00:33,
19,7,2018-08-01 02:01:31,1
20,7,2018-08-01 02:01:37,4
21,7,2018-08-01 02:01:41,
22,4,2018-08-01 02:02:20,3
23,3,2018-08-01 02:03:56,3
24,3,2018-08-01 02:05:01,3
25,2,2018-08-01 02:06:39,5
26,7,2018-08-01 02:07:05,4
27,7,2018-08-01 02:07:55,5
28,7,2018-08-01 02:08:32,5
29,7,2018-08-01 02:08:32,
30,7,2018-08-01 02:08:32,
31,5,2018-08-01 02:09:05,2
32,2,2018-08-01 02:10:24,2
33,3,2018-08-01 02:11:22,3
34,6,2018-08-01 02:11:41,
35,5,2018-08-01 02:12:39,2
36,3,2018-08-01 02:13:57,4
37,3,2018-08-01 02:15:05,4
38,5,2018-08-01 02:16:18,2
39,2,2018-08-01 02:17:25,
40,5,2018-08-01 02:19:05,2
41,3,2018-08-01 02:19:21,4
42,6,2018-08-01 02:20:59,1
43,3,2018-08-01 02:22:39,2
44,5,2018-08-01 02:23:16,
45,6,2018-08-01 02:24:12,5
46,5,2018-08-01 02:25:23,5
47,5,2018-08-01 02:26:49,
48,5,2018-08-01 02:27:24,5
49,6,2018-08-01 02:27:56,5
50,3,2018-08-01 02:28:00,4
51,5,2018-08-01 02:28:20,
52,5,2018-08-01 02:28:20,
53,5,2018-08-01 02:28:20,
54,6,2018-08-01 02:29:08,5
55,3,2018-08-01 02:30:42,
56,3,2018-08-01 02:30:42,
57,3,2018-08-01 02:30:42,
58,6,2018-08-01 02:32:14,5
59,6,2018-08-01 02:33:25,2
60,6,2018-08-01 02:33:29,3
61,6,2018-08-01 02:33:54,3
62,6,2018-08-01 02:34:43,
63,6,2018-08-01 02:35:24,5
64,6,2018-08-01 02:36:38,5
65,6,2018-08-01 02:36:56,5
66,6,2018-08-01 02:36:56,
67,6,2018-08-01 02:36:56,
68,8,2018-08-01 02:37:23,
69,8,2018-08-01 02:38:03,3
70,8,2018-08-01 02:38:07,3
71,8,2018-08-01 02:38:17,
72,8,2018-08-01 02:39:09,5
73,8,2018-08-01 02:40:35,
74,8,2018-08-01 02:40:37,4
75,8,2018-08-01 02:41:16,
76,8,2018-08-01 02:41:58,1
77,8,2018-08-01 02:42:57,3
78,8,2018-08-01 02:43:33,3
79,8,2018-08-01 02:44:55,
80,8,2018-08-01 02:45:38,4
81,8,2018-08-01 02:45:43,4
82,8,2018-08-01 02:46:24,3
83,8,2018-08-01 02:46:45,3
84,8,2018-08-01 02:46:50,1
85,8,2018-08-01 02:46:57,1
86,8,2018-08-01 02:47:04,4
87,8,2018-08-01 02:47:53,2
88,8,2018-08-01 02:49:25,4
89,8,2018-08-01 02:50:34,3
90,8,2018-08-01 02:51:13,3
91,8,2018-08-01 02:52:21,5
92,8,2018-08-01 02:53:12,1
93,8,2018-08-01 02:54:19,1
94,8,2018-08-01 02:55:41,
95,8,2018-08-01 02:56:25,4
96,8,2018-08-01 02:57:32,
97,9,2018-08-01 02:58:37,3
98,9,2018-08-01 02:59:21,4
99,9,2018-08-01 03:00:26,
100,9,2018-08-01 03:01:26,2
101,9,2018-08-01 03:01:40,
102,9,2018-08-01 03:02:28,5
103,9,2018-08-01 03:04:02,5
104,9,2018-08-01 03:05:17,
105,9,2018-08-01 03:06:24,5
106,9,2018-08-01 03:06:40,5
107,9,2018-08-01 03:07:56,1
108,9,2018-08-01 03:08:44,2
109,9,2018-08-01 03:10:02,2
110,10,2018-08-01 03:10:17,
111,11,2018-08-01 03:11:50,
112,10,2018-08-01 03:12:44,4
113,12,2018-08-01 03:14:19,
114,11,2018-08-01 03:15:05,5
115,12,2018-08-01 03:16:12,3
116,10,2018-08-01 03:16:42,
117,11,2018-08-01 03:17:27,5
118,12,2018-08-01 03:18:39,3
119,10,2018-08-01 03:19:44,2
120,11,2018-08-01 03:20:36,5
121,11,2018-08-01 03:21:25,5
122,11,2018-08-01 03:22:08,5
123,10,2018-08-01 03:23:38,2
124,12,2018-08-01 03:23:58,3
125,10,2018-08-01 03:25:23,4
126,12,2018-08-01 03:26:33,3
127,10,2018-08-01 03:27:15,2
128,12,2018-08-01 03:28:12,3
129,12,2018-08-01 03:28:40,3
130,11,2018-08-01 03:29:38,2
131,12,2018-08-01 03:30:08,3
132,12,2018-08-01 03:30:35,5
133,10,2018-08-01 03:30:38,2
134,11,2018-08-01 03:31:36,4
135,10,2018-08-01 03:31:45,5
136,10,2018-08-01 03:32:14,4
137,12,2018-08-01 03:33:40,
138,12,2018-08-01 03:34:19,5
139,12,2018-08-01 03:35:56,
140,10,2018-08-01 03:36:07,5
141,12,2018-08-01 03:36:55,5
142,12,2018-08-01 03:38:35,5
143,12,2018-08-01 03:38:55,
144,11,2018-08-01 03:40:01,4
145,12,2018-08-01 03:40:19,1
146,12,2018-08-01 03:40:36,4
147,12,2018-08-01 03:42:03,4
148,11,2018-08-01 03:42:37,2
149,12,2018-08-01 03:43:56,
150,12,2018-08-01 03:43:56,
151,12,2018-08-01 03:43:56,
152,11,2018-08-01 03:45:02,
153,11,2018-08-01 03:45:06,2
154,11,2018-08-01 03:45:51,2
155,11,2018-08-01 03:47:21,
156,11,2018-08-01 03:48:58,5
157,11,2018-08-01 03:50:07,
158,11,2018-08-01 03:51:06,4
159,11,2018-08-01 03:52:08,
160,11,2018-08-01 03:52:57,5
161,11,2018-08-01 03:53:01,5
162,11,2018-08-01 03:53:37,
163,11,2018-08-01 03:53:44,1
164,11,2018-08-01 03:54:54,1
165,11,2018-08-01 03:55:13,1
166,11,2018-08-01 03:55:13,
167,11,2018-08-01 03:55:13,
168,13,2018-08-01 03:56:04,5
169,13,2018-08-01 03:56:33,3
170,13,2018-08-01 03:57:19,2
171,13,2018-08-01 03:58:08,5
172,13,2018-08-01 03:59:36,3
173,14,2018-08-01 03:59:47,
174,14,2018-08-01 04:00:13,5
175,14,2018-08-01 04:01:01,
176,13,2018-08-01 04:01:48,5
177,13,2018-08-01 04:03:01,5
178,13,2018-08-01 04:04:02,
179,13,2018-08-01 04:05:32,5
180,14,2018-08-01 04:06:24,5
181,14,2018-08-01 04:06:27,5
182,14,2018-08-01 04:07:53,
183,13,2018-08-01 04:08:00,5
184,14,2018-08-01 04:09:40,5
